defasagem_meses,correlacao_pearson,correlacao_mudanca_futura,observacoes,inicio_origem,fim_origem,amostra
3,-0.08099963078895721,0.18120849335926265,152,2012-05-01,2024-12-01,comum
6,0.1352944651608207,0.28736046223186573,152,2012-05-01,2024-12-01,comum
9,0.31383450752897024,0.3623973881194525,152,2012-05-01,2024-12-01,comum
12,0.3847671638204378,0.3847671638204378,152,2012-05-01,2024-12-01,comum
