mes_calendario,observacoes,mensal_media_pct,anual_mm3_media_pct,anual_mm6_media_pct
1,13,3.47222536315058,4.1827017385882055,4.17112162806628
2,13,-10.047556330625266,4.433365890836189,4.231387602609834
3,13,12.989550583370415,3.9901037687103322,3.9830726094188194
4,13,-2.62612236043263,3.3159989459332158,3.6475876550333264
5,13,3.5678182009253727,2.7191432864446408,3.42543949995446
6,13,-0.8160166280160966,2.876759748462777,3.3074955222941793
7,13,-0.8343768156803946,3.388487720685458,3.182912633383235
8,14,3.6201582983734757,3.7375601087957526,3.5783084655523183
9,14,-2.213429009138204,4.39424361355766,3.8499105260459188
10,14,4.077907757677947,4.62417602511129,4.121439957743383
11,14,-6.548934370639072,4.469879872339844,4.039646582956216
12,14,5.2468472349608755,4.075439311106768,4.194092159665599
